source_id,ra,dec,parallax,phot_g_mean_mag,phot_rp_mean_mag,grvs_mag_nb_transits,teff_gspphot
4041834366140988928,266.606202863176,-33.67342919963893,,20.237751,,,
4041834366140991872,266.6128169017679,-33.669108267193295,,20.388557,,,
4041834366140999936,266.6102584046422,-33.66987080735956,0.2517166351433703,17.817827,16.595627,,4786.1255
4041834366141003392,266.6122647758145,-33.66746169075119,,20.47506,,,
4041834366141004032,266.6079712584296,-33.67218449606794,,20.818953,,,
4041834366141004160,266.6070919659451,-33.671289958125975,,20.241634,,,
4041834366141005952,266.6034887791344,-33.67443273090314,,20.368526,,,
4041834366141007360,266.60621710228594,-33.67264556903991,,20.625353,,,
4041834366141010176,266.608914822802,-33.670399220061185,,20.362411,,,
4041834366141019904,266.6062960595292,-33.670425122796495,,20.899668,,,
4041834366141024768,266.6046311150225,-33.67036450721174,0.2777566834777103,19.623182,,,
4041834366141029504,266.6033852756448,-33.671581080959776,-3.1565639847260707,19.736898,,,
4041834366141033728,266.60743098483744,-33.66820575212126,,19.915756,,,
4041834366141037824,266.6082957489508,-33.66600012173655,,19.040232,16.982014,,
4041834366141037952,266.6087728448327,-33.666719716190954,0.6420140439550726,20.076952,,,
4041834366141041920,266.607374348761,-33.667534036553064,0.22846409236121945,17.944891,16.684343,,4492.292
4041834366141044352,266.6005801833657,-33.672966200897335,0.05468094714343068,16.521284,15.319814,,7574.301
4041834366141046272,266.60169532261006,-33.67221284083968,,20.382439,,,
4041834366141060992,266.5992057866399,-33.67156552681064,,20.229132,17.929926,,
4041834366141061248,266.5997329632215,-33.67172790893823,,20.153807,,,
4041847349828487168,267.20928565674836,-33.97089457005778,-0.038478720635087074,19.00245,18.254011,,
4041847349828487552,267.2097828188078,-33.959924574728326,0.13224844335240943,19.088472,18.7256,,
4041847349828488448,267.21053661686096,-33.96568552528125,1.1364908078590679,19.134092,,,
4041847349828488576,267.21047780353695,-33.96175552115485,2.3865655796298206,19.769527,18.284233,,
4041847349828491264,267.2124909181637,-33.97611343623557,0.07369511681016978,19.431374,,,
4041847349828491520,267.212654346326,-33.96712057132243,4.975558421820422,19.45686,18.51018,,
4041847349828493440,267.2136654788428,-33.9734633085695,0.4166342187141611,19.078194,,,
4041847349828496640,267.21600145463884,-33.96815890311911,,20.124065,,,
4041847349828497024,267.21633848558344,-33.9658894843295,1.8535849365473394,19.66554,,,
4041847349828498048,267.21716915099785,-33.97038565124956,,19.904219,18.197662,,
4041847349828500480,267.21944563354333,-33.97047368967679,-4.431373628493295,19.908602,18.204422,,
4041847349828527616,267.20262875882696,-33.97296799984611,,19.95351,,,
4041847349828528384,267.20625286007294,-33.97192197609935,,20.333504,,,
4041847349828569984,267.2012326786733,-33.971922331459126,,20.233362,,,
4041847349828574208,267.20270657615185,-33.972090469743286,0.10006585826098408,17.033546,15.862334,,9944.28
4041847349828575232,267.2027380225591,-33.97366866286732,,20.008163,,,
4041847349828575360,267.2026547827803,-33.970502262882526,,20.23306,,,
4041847349828575488,267.2027138050689,-33.96818302559538,,19.861433,19.418386,,
